when	finding	lanes	decision	reason
2026-09-18	Stop flow: Send live during the after-stop reread; the remount aborts a new send and wipes draft and refusal; stoppingRef and the status effect rebuild onFinish and setMessages	astra 1, grok 2, deepseek 1, opus 1 and 3, muse 3	act on	consensus of four lanes; opus 3 gives the shape: settling state folded into busy, await stop(), poll, setMessages, no remount
2026-09-18	Allowance line falls back to the mount-time read whenever the newest assistant has no data-turn; dead bare-allowance branch	astra 3, grok 1, muse 1, deepseek 2, opus 4	act on	allowance becomes state set from onData and from every read; the scan and the ?? go away
2026-09-18	Settle poll: 5 s cap presents an open turn as settled; wrong predicate when the stop lands before the reserve; failed reread clobbers loaded history	astra 2, grok 3, muse 7, deepseek 5, opus 2	act on	poll for a turn with seq above the known max that is not open, 20 s deadline; on deadline say still settling and keep what is shown; on a failed read keep the shown history
2026-09-18	In-stream error (HTTP 200 with an error part) never rereads; a JSON 4xx refusal leaves a ghost user bubble and a cleared draft	grok 5, muse 2 and 3 and 6, deepseek 4	act on	classify in onError: a JSON refusal drops the optimistic message and restores the draft; anything else runs the settle poll
2026-09-18	A rejected fetch leaves the page on loading for good; unhandled rejection	astra 4, grok 4, deepseek 3, opus 11	act on	try/catch to the failed state with a retry button
2026-09-18	Initial read casts turns and allowance blindly; DiscoveryTurn hand mirror of 25 fields	muse 5 and 10, deepseek 9, opus 4 and 5	act on	trim the type to the four consumed fields and guard both boundaries with the same checks; the type-only import from the Deno tree stays out of this leaf (not done here)
2026-09-18	Session state lacks the unknown start, so the sign-in form flashes for a returning user	opus 10	act on	one more state, render nothing until INITIAL_SESSION
2026-09-18	prepare-chat-page.ts: fatal reaches flush before the ids exist (temporal dead zone), no transcript on any early abort	astra 5, muse 8, deepseek 6, opus 6	act on	let bindings above the first fatal; sibling drives carry the same defect, filed under not done here
2026-09-18	Drain loop treats debit-exceeds-remaining as fatal; two token strategies and a duplicated send	muse 9, opus 9	act on	either 409 ends the drain and the kind is reported; one send helper, refresh on 401 only
2026-09-18	Recipe omits the .env.local override, script does not print the stack URL	opus 7	act on	two lines in the recipe; apiUrl in the printed JSON
2026-09-18	Feature README still says the web UI is a placeholder	grok 6	act on	one sentence
2026-09-18	CI header and runner Dockerfile comments still name the ownership guard	deepseek 7	act on	two comment lines
2026-09-18	The pure mapping module has no selftest	opus 15, deepseek 2	act on	one harness selftest over messagesFromTurns, refusalFromResponseText and the boundary guards
2026-09-18	react-markdown renders links with no URL sanitisation	muse 4	dismissed	react-markdown 10 applies defaultUrlTransform with a safe protocol list by default (node_modules/react-markdown/lib/index.js lines 124 and 320); javascript: links are stripped
2026-09-18	A sixth copy of the doctor block and reporting scaffold across the drive scripts	opus 8	not done here	extraction touches five shipped drives; filed as a batch candidate
2026-09-18	The line-ending fix normalises the reader instead of pinning the files to LF	deepseek 8, opus 14	noted	the selftest compares in-memory values on purpose; a .gitattributes pin is a later choice
2026-09-18	The refusal is re-parsed from error.message when a typed error may carry the body	opus 12	noted	the parse is the documented contract of the transport (response text as message); no change
2026-09-18	Three dead paths in the chat component	opus 13	consider	the writer removes what the redesign makes dead
