ai4good buildout burn report - 2026-08-11 - 924 transcript file(s), sessions and agents
units: provider-echoed tokens per response (REQ-034 model); money lives elsewhere
attribution DERIVED from each record's own git branch, and from the spawn tree where the record names none; role DERIVED from the spawn call

== PER ITEM ==

Item                From   Responses OutputTok InputTok  CacheRead CacheWrite
----                ----   --------- --------- --------  --------- ----------
unattributed        none       27991  33795125  4899918 6916766263  368896771
legacy:bringup      stamp       2235   3186391    16043  826264541   55790457
legacy:task         stamp       1953   3136902    34034  881724358   61064398
legacy:unattributed stamp        798   1327529     1543  404200865   30837752
AI4DEV-79           branch      1576    613128     8023  195817528   11567617
~exploration        stamp        546    585710     1758  185361835    6750400
AI4DEV-60           branch      1199    572008    27057  178520280   11873139
AI4DEV-59           branch      1360    516109     2681  153318404   10589937
AI4DEV-57           branch       825    504371     1763  198478076    8084371
AI4DEV-31           branch      1092    443910     2335  193590236   18798288
AI4DEV-48           branch       974    418380     9638  159826716    9653498
AI4DEV-80           tree         863    406017    13723   79960614    7883468
AI4DEV-58           branch      1018    405693    19077  115915697    8702695
AI4DEV-57           tree         854    394871   113466   85289365    9390677
AI4DEV-5            branch       536    382124     1184  136861733    5595577
AI4DEV-43           branch       245    342514      453   61697862    1389075
AI4DEV-21           branch       568    327396    14564  113676319    9481372
AI4DEV-20           branch       479    302603      932  136207761   11671411
AI4DEV-19           tree         727    296702     1432  111838971    6960107
AI4DEV-47           branch       203    249753      385   95772817     261900
AI4DEV-79           tree         359    202760     8827   37105272    3156078
AI4DEV-6            branch       276    188769      534   73056846    4981622
AI4DEV-48           tree         408    184198     3258   33693743    3937836
AI4DEV-6            tree         309    169198      618   57019238    4054248
AI4DEV-80           branch       253    140591     2271   55859426    3576596
AI4DEV-22           tree         280    105155      556   25609748    1724159
AI4DEV-44           branch       107     98561      195   40872031     113624
legacy:exploration  stamp         77     71683      149   16803122     365532
AI4DEV-60           tree         118     58537    10695   13020782     843960
AI4DEV-59           tree         103     58458    72401    9612344     997589
conflict            stamp         55     58151      103   20682696     102326
AI4DEV-19           branch       159     57684     8326   20278673     875922
AI4DEV-22           branch        89     57297      175   14263860    1477955
AI4DEV-23           stamp         53     53468       98   21231119     930396
AI4DEV-31           tree         144     49244      283   16571631    1831211
AI4DEV-36           stamp         49     47058       93   16835239      65205
AI4DEV-58           tree          88     46731     6879    7330939     795969
AI4DEV-21           tree          80     42688      154   24665852    3431108
AI4DEV-20           tree         109     38472      209   25641587    7036923
AI4DEV-4            stamp         22     24982       39   13931486      33109
AI4DEV-47           stamp         18     23647       32    6565061      35026
AI4DEV-14           stamp          8     16528       14    4200764    1398566
AI4DEV-48           stamp          9     14271       15    3596483      17705
AI4DEV-44           stamp         17     13892       32    7211557      21948
AI4DEV-2            branch        15     11209       28   10421899      33953
AI4DEV-43           stamp          9     10792       15    3086934      16105
AI4DEV-5            stamp         14      9606       27    7815897      12756
AI4DEV-19           stamp         11      9471       21    9677915       9746
AI4DEV-98           branch        32      6121      108    2730138     154069
AI4DEV-99           branch        19      2656      146    1127530       6282
AI4DEV-31           stamp          1       622        2     729592       1355
AI4DEV-5            tree           3       351        6          0      91875



== PER ROLE WITHIN EACH ITEM (role from the spawn call, not any ROLE: text) ==

Item      Role               Responses InputTok OutputTok CacheRead CacheWrite
----      ----               --------- -------- --------- --------- ----------
AI4DEV-19 item-agent               436      858    194036  68210272    5524763
AI4DEV-19 general-purpose          367      726    117963  49938890    1682734
AI4DEV-19 Explore                   64     8136     21406   6348715     603784
AI4DEV-19 coordinator               19       38     20981   7619767      24748
AI4DEV-2  coordinator               15       28     11209  10421899      33953
AI4DEV-20 general-purpose          282      557    149218  94555587    2382631
AI4DEV-20 item-agent               211      403    108732  58352328   15337131
AI4DEV-20 coordinator               95      181     83125   8941433     988572
AI4DEV-21 item-agent               308    14050    168932  72928687   10598398
AI4DEV-21 general-purpose          269      531    123034  39453211    1061261
AI4DEV-21 coordinator               71      137     78118  25960273    1252821
AI4DEV-22 orchestrator-opus        114      224     58540  18860238     789375
AI4DEV-22 Explore                  126      252     45501   5701563     725695
AI4DEV-22 coordinator               35       67     42603   9203413    1214528
AI4DEV-22 conductor                 86      172     14611   5885629     395568
AI4DEV-22 mechanical                 8       16      1197    222765      76948
AI4DEV-31 general-purpose         1134     2254    400516 160676193   16164445
AI4DEV-31 coordinator               68      128     89643  48605006    4088583
AI4DEV-31 claude-code-guide         27      222      2960    806562     146856
AI4DEV-31 item-agent                 7       14        35     74106     229615
AI4DEV-43 coordinator              245      453    342514  61697862    1389075
AI4DEV-44 coordinator              107      195     98561  40872031     113624
AI4DEV-47 coordinator              203      385    249753  95772817     261900
AI4DEV-48 orchestrator-opus        483     3405    260427  50096510    4734874
AI4DEV-48 coordinator              150      285    114534  72481169     189088
AI4DEV-48 executor                 280     8273    105617  31368524    1570738
AI4DEV-48 conductor                276      552     42317  30322820    5960820
AI4DEV-48 distiller                 40       80     35517   1720537     191303
AI4DEV-48 Explore                   73      141     29692   4509650     535268
AI4DEV-48 mechanical                80      160     14474   3021249     409243
AI4DEV-5  coordinator              167      321    219060  98914933    1640938
